# ID  glon  glat  vrad fe_h mg_fe o_fe 
2M17031364-3416572         -9.49890   4.45119 -236.150  0.027  0.218  0.225 
2M17031594-3442092         -9.82893   4.19008  -95.003 -0.873  0.352  0.349 
2M17031653-2816333         -4.67248   8.06648  140.055 -0.678  0.339  0.275 
2M17031887-3421087         -9.54368   4.39449   76.575 -0.709  0.305  0.252 
2M17031964-3452472         -9.96243   4.07245 -137.474 -0.636  0.360  0.329 
2M17032058-2902243         -5.28077   7.59635  -73.907  0.139  0.117  0.081 
2M17032062-2825003         -4.77726   7.97009 -191.497 -0.503  0.377  0.277 
2M17032277-2823231         -4.75067   7.97995  -46.353  0.342  0.038  0.016 
2M17032429-2833525         -4.88860   7.87072  -89.764 -0.385  0.293  0.241 
2M17032465-3443274         -9.82807   4.15318   19.320 -1.354  0.341  0.375 
2M17032613-2810249         -4.56837   8.09953  -65.135 -0.095  0.223  0.151 
2M17033124-2853153         -5.13417   7.65675   10.641 -0.066  0.215  0.179 
2M17033460-2808437         -4.52683   8.09142  -58.068  0.451  0.055 -0.010 
2M17033539-2756051         -4.35449   8.21516 -194.725 -0.427  0.323  0.291 
2M17033665-2754013         -4.32383   8.23201  154.354 -0.779  0.319  0.298 
2M17033814-2829277         -4.79847   7.87418 -194.833 -0.180  0.253  0.212 
2M17033860-2856570         -5.16764   7.59835  -66.026 -0.861  0.271  0.219 
2M17033920-3450142         -9.88790   4.04507  -46.300  0.441  0.055  0.028 
2M17033962-2826413         -4.75785   7.89753  -31.563  0.255  0.173  0.184 
2M17033970-2854340         -5.13314   7.61892  -76.433  0.122  0.062  0.050 
2M17034220-2843026         -4.97248   7.72670  -41.136 -0.880  0.329  0.436 
2M17034520-3415090         -9.40889   4.38296 -101.294 -1.474  0.324  0.300 
2M17034613-2811447         -4.54192   8.02743  -27.266 -0.087  0.221  0.176 
2M17034630-2856047         -5.13894   7.58459   -5.381 -0.484  0.336  0.263 
2M17034853-3419019         -9.45355   4.33468 -227.037 -0.311  0.279  0.240 
2M17035346-2823179         -4.68149   7.89070   54.722  0.037  0.164  0.102 
2M17035400-2811428         -4.52404   8.00457   -0.245  0.483  0.022 -0.016 
2M17035406-2810375         -4.50924   8.01522  -28.472 -0.118  0.244  0.200 
2M17035701-2818257         -4.60797   7.92881  -39.892 -0.139  0.266  0.233 
2M17035830-2751225         -4.23996   8.19445  -92.932 -0.450  0.318  0.253 
2M17035935-2813150         -4.53293   7.97353  236.952 -1.284  0.441  0.568 
2M17040182-3429410         -9.56755   4.19086   85.418 -0.944  0.288  0.241 
2M17040312-3433479         -9.61957   4.14581  -73.981  0.328  0.045  0.024 
2M17040427-2855331         -5.09224   7.53735  -58.576 -1.637  0.384  0.537 
2M17040431-3439076         -9.68799   4.08882  -52.667  0.160  0.171  0.097 
2M17040604-3425238         -9.50168   4.22252  -17.480  0.540  0.081  0.046 
2M17040738-2852024         -5.03810   7.56331   74.145 -0.273  0.285  0.246 
2M17040866-3421132         -9.44064   4.25745   15.015  0.439  0.047  0.018 
2M17040997-2828287         -4.71484   7.79059  -74.001  0.261  0.081  0.049 
2M17041022-2751002         -4.20844   8.16290   67.257 -0.387  0.308  0.259 
2M17041178-2833045         -4.77281   7.73947  -66.862 -0.758  0.303  0.329 
2M17041229-3451503         -9.84050   3.93889 -107.466 -0.678  0.372  0.286 
2M17041338-2843295         -4.90971   7.63097  -57.074 -0.432  0.322  0.252 
2M17041602-2847018         -4.95156   7.58798  -35.500 -0.725  0.360  0.268 
2M17041802-2822239         -4.61505   7.82749  -56.850 -0.356  0.265  0.223 
2M17041929-3442427         -9.70455   4.01178  -29.708  0.192  0.083  0.050 
