# ID  glon  glat  vrad fe_h mg_fe o_fe 
2M17300536-3155171         -4.31382   1.22800   14.102 -0.398  0.326  0.290 
2M17300615-2656466         -0.15108   3.95976  -26.076 -0.613  0.377  0.299 
2M17300740-2646269         -0.00417   4.05013  104.627 -0.027 -0.006 -0.008 
2M17300764-3218435         -4.63554   1.00614  -96.837  0.366  0.120  0.069 
2M17300809-2645453          0.00695   4.05433   46.090 -0.219  0.245  0.235 
2M17300905-2112244          4.69092   7.07742   59.155 -0.440  0.211  0.232 
2M17300986-2758515         -1.01062   3.38096   66.502 -0.386  0.304  0.284 
2M17301050-2454153          1.57275   5.06294   65.554 -0.723  0.301  0.253 
2M17301054-3148293         -4.20915   1.27508 -178.859  0.394  0.084  0.042 
2M17301123-2310141          3.03487   6.00514 -122.777 -0.335  0.317  0.261 
2M17301187-2116059          4.64474   7.03495  -39.294 -1.071  0.441  0.297 
2M17301356-2044031          5.10118   7.31816   59.787 -0.331  0.359  0.306 
2M17301366-2501010          1.48451   4.99142    1.704 -0.858  0.322  0.137 
2M17301376-3021026         -2.98531   2.06737 -105.179  0.477 -0.002 -0.001 
2M17301443-2335002          2.69333   5.77031  -59.723  0.221  0.049  0.014 
2M17301479-2644089          0.04308   4.04814 -115.411 -0.243  0.277  0.217 
2M17301495-2337002          2.66633   5.75049  -70.188 -1.055  0.265  0.220 
2M17301517-2131051          4.44012   6.88897   38.635 -0.320  0.210  0.176 
2M17301534-2753501         -0.92941   3.41001 -186.488  0.045  0.159  0.105 
2M17301560-2701201         -0.19553   3.88876  176.734 -0.897  0.346  0.342 
2M17301634-2338047          2.65411   5.73628  121.516  0.349  0.009  0.041 
2M17301741-2014048          5.53346   7.57510  105.384 -0.760  0.242  0.240 
2M17301776-2718036         -0.42485   3.72938   21.753  0.297  0.101  0.040 
2M17301878-2609386          0.53388   4.35036  159.622 -0.200  0.297  0.269 
2M17301904-2821476         -1.31220   3.14305  -37.228  0.199  0.090  0.037 
2M17301982-3159355         -4.34561   1.14581 -181.781  0.319  0.100  0.045 
2M17302006-2403156          2.30811   5.49592  -83.198 -0.019  0.176  0.213 
2M17302023-2653528         -0.08187   3.94243  -68.222 -0.135  0.137  0.100 
2M17302030-2854394         -1.76817   2.83861  -19.053 -0.572  0.360  0.294 
2M17302059-2046289          5.08173   7.27323  -12.099  0.334  0.091  0.031 
2M17302125-2626173          0.30607   4.19089  107.057 -0.516  0.275  0.250 
2M17302199-2752038         -0.89123   3.40573 -110.273  0.224  0.191  0.167 
2M17302202-2014039          5.54349   7.56006   65.260  0.042  0.084  0.067 
2M17302254-2755147         -0.93455   3.37495 -209.265 -0.428  0.309  0.297 
2M17302255-2036013          5.23387   7.36091  158.047 -1.173  0.188  0.261 
2M17302287-2039580          5.17872   7.32436 -140.707 -0.677  0.332  0.287 
2M17302350-1700495          8.29475   9.28233   38.556 -0.177  0.245  0.228 
2M17302375-2043486          5.12625   7.28691    8.407  0.147  0.097  0.062 
2M17302421-2426057          1.99617   5.27538  -66.603 -0.000  0.196  0.161 
2M17302429-2857502         -1.80455   2.79738 -170.862  0.137 -0.081 -0.012 
2M17302435-2642121          0.08981   4.03612 -168.553  0.183  0.053  0.012 
2M17302443-2738296         -0.69676   3.52214  -22.652  0.086  0.137  0.224 
2M17302454-2652154         -0.05037   3.94382 -124.360 -0.650  0.365  0.287 
2M17302492-2126270          4.52614   6.89900   21.029 -0.470  0.216  0.195 
2M17302499-2403437          2.31180   5.47594  -54.569  0.108 -0.043  0.005 
2M17302654-2452092          1.63542   5.03122  -40.699 -1.256  0.246  0.292 
2M17302703-2733070         -0.61638   3.56320 -134.339 -0.113  0.142  0.099 
2M17302724-2024427          5.40386   7.44721   50.941 -0.245  0.268  0.189 
2M17302800-2743352         -0.76069   3.46463  120.191 -0.037  0.165  0.107 
2M17302860-2326137          2.84627   5.80443   48.669  0.330  0.057 -0.005 
2M17302939-2024079          5.41663   7.44534  105.585  0.356  0.040  0.035 
2M17303067-2316479          2.98323   5.88319  -50.390 -0.229  0.237  0.248 
2M17303150-2701542         -0.17106   3.83419  -80.337  0.129  0.038  0.035 
2M17303190-2912435         -1.99697   2.63802  -31.680  0.080  0.134  0.077 
2M17303224-1704441          8.25771   9.21811  -35.147  0.306  0.067  0.032 
2M17303262-2341231          2.64161   5.65419  210.509 -0.566  0.387  0.309 
2M17303344-2832286         -1.43234   3.00129  141.006  0.374 -0.055  0.002 
2M17303346-2741165         -0.71733   3.46887 -102.836 -0.745  0.301  0.257 
2M17303436-2618306          0.44174   4.22080   35.688 -0.705  0.331  0.285 
2M17303441-2805309         -1.05398   3.24463  -70.576 -0.109  0.246  0.178 
2M17303604-2640003          0.14442   4.01973 -112.448 -0.578  0.333  0.253 
2M17303609-2347576          2.55642   5.58349  153.333 -0.530  0.206  0.252 
2M17303657-2420231          2.10198   5.28789   41.810  0.032  0.193  0.239 
2M17303684-2733079         -0.59670   3.53276    8.168 -0.140  0.237  0.225 
2M17303745-2658093         -0.10654   3.84987 -184.154  0.233  0.082  0.017 
2M17303747-2108193          4.80878   7.02133   24.470  0.230  0.040  0.024 
2M17303761-2904459         -1.87452   2.69346 -120.758  0.174  0.132  0.070 
2M17303802-2308449          3.11184   5.93243   21.040 -0.100  0.206  0.230 
2M17303863-2913251         -1.99322   2.61124 -132.858  0.042  0.156  0.218 
2M17303894-2416588          2.15472   5.31124   71.031  0.108  0.030  0.049 
2M17303907-2754512         -0.89565   3.32761  -27.406 -0.194  0.193  0.267 
2M17303917-2351363          2.51162   5.54059   57.639 -0.226  0.207  0.233 
2M17303926-2437120          1.87156   5.12669 -126.436 -0.714  0.392  0.277 
2M17303980-2612374          0.53525   4.25741 -125.766  0.365  0.054  0.014 
2M17303980-2330234          2.81114   5.73080  -15.063 -0.947  0.293  0.262 
2M17304015-2636126          0.20591   4.04148    8.355  0.202  0.164  0.208 
2M17304051-2652338         -0.02211   3.89132   99.162  0.472  0.011  0.020 
2M17304057-2339096          2.68945   5.64888    6.294 -0.579  0.335  0.300 
2M17304106-2332457          2.78044   5.70528  149.854 -0.845  0.265  0.277 
2M17304150-2104132          4.87526   7.04506  195.256 -1.092  0.186  0.451 
2M17304172-2905120         -1.87239   2.67695 -235.203 -0.123  0.141  0.090 
2M17304244-2708147         -0.23748   3.74240 -173.661 -0.220  0.309  0.206 
2M17304283-2735002         -0.61074   3.49717  -77.563 -0.512 -0.066 -0.070 
2M17304325-2740348         -0.68780   3.44498  198.563  0.192  0.202  0.095 
2M17304339-2738297         -0.65839   3.46358  -47.837  0.546  0.125  0.014 
2M17304352-2330571          2.81101   5.71377  -66.750  0.046  0.155  0.117 
2M17304425-2731186         -0.55624   3.52647  214.784  0.297  0.187  0.081 
2M17304472-2800321         -0.96361   3.25835  186.165 -0.262  0.287  0.258 
2M17304491-2940576         -2.36486   2.34038  -48.310  0.271 -0.073 -0.041 
2M17304535-2729116         -0.52443   3.54236  -70.253  0.378  0.103  0.017 
2M17304620-2448225          1.72910   5.00320 -112.237 -0.848  0.352  0.225 
2M17304734-2831136         -1.38694   2.97013  -86.724 -0.506  0.360  0.306 
2M17304792-2005408          5.71733   7.55000  -58.123  0.314  0.142  0.005 
2M17304814-2718585         -0.37593   3.62687  172.205 -0.220  0.288  0.208 
2M17304843-2639143          0.18041   3.98806  -82.880 -0.309  0.235  0.159 
2M17304847-2730307         -0.53653   3.52070  -68.286  0.006  0.051  0.042 
2M17304869-2735304         -0.60591   3.47445  198.204 -0.370  0.287  0.284 
2M17304900-2730494         -0.53981   3.51619 -134.198  0.236  0.065  0.048 
2M17304918-2740571         -0.68101   3.42329   -6.040  0.344  0.044 -0.004 
2M17305004-2651172          0.01514   3.87330   89.863 -1.503  0.106  0.137 
2M17305039-2731423         -0.54934   3.50387  190.772 -0.218  0.310  0.232 
2M17305044-2632059          0.28444   4.04682   99.222  0.066  0.124  0.228 
2M17305067-3335531         -5.62676   0.17306  -44.758  0.061  0.276  0.202 
2M17305089-2347494          2.58918   5.53738  -42.306 -0.674  0.315  0.273 
2M17305210-2633405          0.26577   4.02729   19.996 -0.062  0.194  0.183 
2M17305214-2826109         -1.30687   3.00149 -127.766  0.054 -0.001 -0.003 
2M17305216-2355205          2.48614   5.46520   38.144 -0.324  0.299  0.270 
2M17305228-2715240         -0.31755   3.64667  -80.140 -0.559  0.351  0.266 
2M17305251-2651528          0.01188   3.86021   43.254 -0.164  0.139  0.131 
2M17305325-2631271          0.29924   4.04393  -74.141  0.079  0.175  0.103 
2M17305366-1708486          8.24555   9.10976  -41.528 -0.548  0.316  0.255 
2M17305408-2422002          2.11559   5.21743 -138.489 -0.218  0.227  0.244 
2M17305455-2713164         -0.28319   3.65897   96.915 -0.784  0.317  0.244 
2M17305543-3326263         -5.48612   0.24574  -92.991 -0.343  0.003  0.011 
2M17305546-2738477         -0.63817   3.42356   33.094  0.444  0.097  0.019 
2M17305602-2749437         -0.78983   3.32215 -198.625  0.519  0.127  0.028 
2M17305654-2754065         -0.84997   3.28059 -243.081  0.101  0.194  0.216 
2M17305719-2305127          3.20172   5.90271  -79.323  0.358  0.017 -0.007 
2M17305906-2317039          3.03877   5.78954  -15.877 -0.008  0.111  0.078 
2M17305906-2639574          0.19205   3.94837 -261.933 -0.298  0.322  0.274 
2M17305985-1717531          8.12922   9.00832  177.264 -0.792  0.268  0.211 
2M17305992-2930316         -2.18948   2.39024  168.044 -0.419  0.265  0.244 
2M17310034-2653596         -0.00175   3.81661 -103.920 -0.511  0.313  0.293 
2M17310051-2335260          2.78341   5.61872    1.913 -0.471  0.367  0.294 
2M17310094-2839339         -1.47610   2.85241 -103.558  0.163  0.074  0.038 
2M17310101-2731169         -0.52188   3.47486  158.745  0.436  0.148  0.060 
2M17310137-2323274          2.95367   5.72433  156.979 -0.537  0.357  0.290 
2M17310221-2736169         -0.58936   3.42559  -17.988  0.391  0.046  0.000 
2M17310280-2656473         -0.03587   3.78351 -215.579 -0.215  0.207  0.137 
2M17310287-2707106         -0.18103   3.68869  -85.039  0.428  0.052 -0.002 
2M17310296-2349420          2.58791   5.48174   87.095 -0.647  0.331  0.260 
2M17310304-3301326         -5.12479   0.45144   29.326 -0.360  0.271  0.285 
2M17310370-2701108         -0.09546   3.74070 -239.045 -0.150  0.247  0.219 
2M17310374-2344555          2.65667   5.52247   40.820 -0.083 -0.001 -0.011 
2M17310454-2654090          0.00459   3.80212  109.172 -0.273  0.190  0.208 
2M17310513-2726229         -0.44505   3.50678   55.183 -0.485  0.282  0.291 
2M17310543-2622474          0.44533   4.08468  -20.490 -0.199  0.222  0.255 
2M17310544-2723315         -0.40449   3.53184  158.604 -0.995  0.317  0.289 
2M17310648-2733494         -0.54639   3.43479   81.579 -1.213  0.309  0.293 
2M17310795-1639561          8.68905   9.31759  183.978 -0.239  0.317  0.230 
2M17310833-2746432         -0.72293   3.31156 -132.113 -1.528  0.327  0.314 
2M17310900-2627358          0.38534   4.02980  -25.098 -0.644  0.293  0.269 
2M17311013-2718237         -0.32322   3.56399   21.957 -0.447  0.336  0.281 
2M17311068-3025470         -2.93899   1.85299 -133.485  0.238  0.125  0.065 
2M17311118-1651449          8.52703   9.20201  -26.276 -0.128  0.192  0.242 
2M17311131-2256212          3.35594   5.93724  216.154 -0.565  0.340  0.332 
2M17311154-2736254         -0.57250   3.39547 -242.377  0.442  0.023  0.020 
2M17311205-2745056         -0.69267   3.31490 -249.023 -0.336  0.305  0.275 
2M17311263-2702451         -0.09932   3.69863  195.510  0.320  0.100  0.058 
2M17311300-2443165          1.85606   4.96443   43.795  0.193  0.012  0.035 
2M17311393-2805256         -0.97311   3.12383  129.269 -0.002  0.185  0.137 
2M17311438-2717276         -0.30154   3.55933  -48.246  0.006 -0.062 -0.074 
2M17311444-2646233          0.13334   3.84190   79.910  0.354  0.006  0.005 
2M17311474-2632358          0.32702   3.96639   -0.048 -0.123  0.183  0.229 
2M17311525-2637251          0.26057   3.92095  109.022 -0.242  0.196  0.253 
2M17311532-2739078         -0.60270   3.35914 -125.230  0.509  0.116  0.017 
2M17311554-2437381          1.94052   5.00746   20.517 -0.437  0.309  0.309 
2M17311560-2406379          2.37618   5.28805 -119.828 -0.351  0.200  0.239 
2M17311637-2817113         -1.13255   3.00917 -173.749  0.198  0.050  0.013 
2M17311723-2706325         -0.14300   3.64985  -94.553  0.408  0.033  0.046 
2M17311763-3334166         -5.55297   0.10956 -102.964 -0.381  0.321  0.295 
2M17311782-2752009         -0.77781   3.23405    3.128  0.014  0.187  0.118 
2M17311828-2420573          2.18046   5.14985   28.217 -1.052  0.391  0.285 
2M17311870-2856157         -1.67371   2.64581   93.447 -0.646  0.304  0.273 
2M17311889-3306017         -5.15691   0.36415    7.635 -0.565  0.362  0.297 
2M17311900-2921571         -2.03184   2.41058   99.546 -0.466  0.303  0.264 
2M17311925-2750308         -0.75392   3.24331 -102.317  0.286  0.101  0.013 
2M17311991-2638035          0.26110   3.90058   -6.940 -1.182  0.356  0.399 
2M17311999-2411583          2.31022   5.22570  -24.594 -0.174  0.227  0.238 
2M17312013-2423126          2.15262   5.12353  -14.362  0.302  0.028  0.002 
2M17312018-2733599         -0.52112   3.39082  111.499  0.335  0.010  0.021 
2M17312019-2606201          0.70598   4.18799  -51.958 -0.119  0.196  0.245 
2M17312097-2449295          1.78526   4.88278   48.467 -0.594  0.348  0.287 
2M17312176-2639473          0.24064   3.87908   64.083 -0.468  0.230  0.236 
2M17312236-2847444         -1.54738   2.71231  -33.358  0.222 -0.033  0.004 
2M17312327-3347247         -5.72533  -0.02684   17.253  0.473  0.008 -0.017 
2M17312396-3348180         -5.73640  -0.03696  -48.970  0.209  0.081  0.021 
2M17312403-2657273         -0.00206   3.71136   93.628 -0.678  0.409  0.294 
2M17312435-2721064         -0.33236   3.49525  -97.430  0.283  0.078  0.038 
2M17312478-2633537          0.32931   3.92323 -118.032 -0.420  0.269  0.233 
2M17312513-2811398         -1.03775   3.03258   98.414 -0.031  0.083  0.093 
2M17312521-2623467          0.47186   4.01381   12.488 -1.036  0.363  0.282 
2M17312642-1706137          8.35276   9.02222  -14.580  0.139  0.098  0.045 
2M17312731-2413347          2.30281   5.18781  -19.472  0.441  0.022  0.001 
2M17312752-2138134          4.49192   6.58882 -110.448  0.033  0.191  0.218 
2M17312828-2917578         -1.95769   2.41873   29.456 -0.783  0.311  0.216 
2M17312851-2731306         -0.46949   3.38770 -239.045 -0.597  0.377  0.309 
2M17312870-2702561         -0.06927   3.64702 -195.065 -0.627  0.368  0.310 
2M17312928-2658523         -0.01123   3.68215  -94.636 -0.035  0.181  0.186 
2M17312990-1758444          7.61077   8.54427   84.204 -0.876  0.314  0.256 
2M17312996-2607459          0.70593   4.14436    4.653 -0.021  0.192  0.171 
2M17313041-2340560          2.76827   5.47309   37.239  0.087  0.126  0.114 
2M17313067-2920055         -1.98264   2.39208  121.633  0.045  0.104  0.075 
2M17313076-2903014         -1.74409   2.54738   -7.403 -0.658  0.441  0.318 
2M17313173-2350211          2.63852   5.38376   33.242 -0.904  0.269  0.206 
2M17313178-2803215         -0.90827   3.08770  -70.392  0.362  0.084  0.022 
2M17313225-2734165         -0.50060   3.35094  146.642 -0.198  0.197  0.108 
2M17313256-1749328          7.74750   8.61709  -65.825 -0.506  0.277  0.314 
2M17313262-2727173         -0.40212   3.41337 -137.758 -1.169  0.253  0.218 
2M17313279-2705396         -0.09911   3.60951   55.634  0.093  0.106  0.069 
2M17313327-2745393         -0.65773   3.24427  109.263  0.228  0.032  0.059 
2M17313347-2632375          0.36480   3.90762   32.576 -0.814  0.319  0.285 
2M17313365-1700436          8.44690   9.04660   63.645 -0.193  0.231  0.223 
2M17313399-2640506          0.25077   3.83132   74.950 -0.993  0.230  0.222 
2M17313409-2655443          0.04241   3.69566  107.531 -0.202  0.141  0.142 
2M17313469-2712302         -0.19105   3.54140   97.570  0.357 -0.024 -0.025 
2M17313623-2319546          3.07624   5.64431  135.045 -0.685  0.262  0.224 
2M17313627-2732408         -0.47016   3.35300 -230.202  0.226  0.047  0.043 
2M17313671-2801528         -0.87769   3.08598  241.543 -0.494  0.290  0.222 
2M17313710-2852437         -1.58763   2.62183   28.809  0.142 -0.108 -0.008 
2M17313776-2726130         -0.37673   3.40717  -31.231 -0.037  0.208  0.167 
2M17313802-1651157          8.59162   9.11565    3.576 -0.529  0.309  0.259 
2M17313825-2648260          0.15312   3.74907 -218.475 -0.802  0.312  0.276 
2M17313827-2448586          1.82818   4.83252  -50.449 -0.452  0.320  0.269 
2M17313837-2653088          0.08736   3.70589   84.713  0.418 -0.028  0.032 
2M17313877-2734138         -0.48679   3.33117  -33.308  0.135  0.118  0.057 
2M17313878-2651311          0.11101   3.71941    8.451  0.273  0.133  0.059 
2M17313947-2707538         -0.11687   3.56840  163.823 -0.708  0.404  0.293 
2M17314056-2646367          0.18335   3.75842  -48.685  0.288  0.068  0.021 
2M17314112-2801055         -0.85778   3.07958 -174.210  0.400  0.063  0.040 
2M17314166-2705519         -0.08401   3.58005  -96.352  0.301  0.078  0.025 
2M17314168-3316357         -5.26066   0.20116  151.859  0.209  0.030  0.073 
2M17314209-2708560         -0.12608   3.55086 -130.324 -0.056  0.184  0.241 
2M17314252-2928411         -2.07912   2.27772  -22.166 -0.363  0.294  0.289 
2M17314258-2613142          0.65500   4.05512   83.229  0.292 -0.049 -0.015 
2M17314300-2804201         -0.89939   3.04428 -201.178  0.309  0.102  0.029 
2M17314301-2704228         -0.06050   3.58938  -48.177  0.430  0.039  0.001 
2M17314346-2412402          2.34902   5.14448  -42.385  0.189  0.106  0.054 
2M17314377-2710472         -0.14863   3.52878   -2.299 -0.258  0.244  0.178 
2M17314385-2013087          5.73013   7.29866  -22.729 -0.847  0.288  0.206 
2M17314435-2757458         -0.80476   3.09990   52.855  0.315  0.083  0.046 
2M17314445-2718576         -0.26165   3.45241   69.775 -0.779  0.366  0.252 
2M17314491-2758401         -0.81629   3.08994  -30.260 -0.718  0.370  0.300 
2M17314505-3302470         -5.06162   0.31739  -53.861  0.104  0.141  0.064 
2M17314544-2342421          2.77459   5.40895 -141.065  0.068  0.109  0.070 
2M17314562-2611026          0.69196   4.06549  -89.276 -0.154  0.249  0.210 
2M17314592-2704598         -0.06322   3.57473  -64.878 -0.665  0.325  0.262 
2M17314650-2129198          4.65748   6.60683  -42.052 -0.089  0.150  0.106 
2M17314758-1713145          8.29789   8.88873  -87.597 -0.057  0.047  0.046 
2M17314792-2748417         -0.67072   3.17134 -201.530  0.360  0.015  0.024 
2M17314804-2635458          0.35049   3.83358   94.504 -0.288  0.207  0.260 
2M17314815-1752427          7.73572   8.53667   -0.583 -0.566  0.321  0.435 
2M17314845-2652070          0.12225   3.68382  -83.925  0.425  0.022 -0.003 
2M17314870-2712208         -0.16048   3.49929   17.878 -0.278  0.278  0.214 
2M17314913-2352264          2.64526   5.30916  163.645 -0.440  0.371  0.291 
2M17315006-2727264         -0.36899   3.35795 -198.775  0.280  0.081  0.058 
2M17315009-2619276          0.58309   3.97512   29.945 -0.687  0.336  0.294 
2M17315058-3324443         -5.35728   0.10091   53.477  0.483  0.008  0.009 
2M17315081-2748321         -0.66266   3.16387 -195.816  0.519  0.009  0.004 
2M17315092-2920048         -1.94224   2.33059   14.094 -0.128  0.273  0.235 
2M17315104-2755453         -0.76320   3.09753 -324.884 -0.369  0.346  0.245 
2M17315115-1704425          8.42751   8.95227 -126.652 -0.310  0.266  0.247 
2M17315223-2358334          2.56565   5.24400  -25.772 -0.131  0.245  0.264 
2M17315243-1759554          7.64203   8.45823   23.705 -0.148  0.253  0.251 
2M17315273-2631502          0.41504   3.85455 -200.463 -0.724  0.341  0.258 
2M17315298-2444310          1.92116   4.82614   48.196  0.277  0.011  0.001 
2M17315398-2753027         -0.71938   3.11311 -131.033 -0.761  0.313  0.309 
2M17315432-2019158          5.66558   7.20939  -43.621 -0.044  0.299  0.133 
2M17315450-2447315          1.88200   4.79412   80.422 -0.246  0.002  0.059 
2M17315477-1747489          7.81970   8.55790  -93.720 -0.295  0.109  0.069 
2M17315507-2408209          2.43380   5.14648  -53.750  0.375  0.007  0.009 
2M17315518-2805504         -0.89595   2.99308  195.533 -0.023  0.001 -0.016 
2M17315622-2607543          0.75756   4.06069   28.418  0.494 -0.011 -0.009 
2M17315624-2411005          2.39884   5.11870 -101.329 -0.025  0.027 -0.011 
2M17315710-2420544          2.26143   5.02652   63.396 -0.819  0.298  0.285 
2M17315755-2750367         -0.67815   3.12418 -172.256  0.170  0.057  0.055 
2M17315819-1644202          8.73391   9.10874  -90.627  0.365  0.030 -0.000 
2M17315844-2708344         -0.08794   3.50328   31.440  0.344  0.117  0.079 
2M17315844-2741192         -0.54634   3.20585  225.508 -0.686  0.254  0.338 
2M17315893-1640400          8.78802   9.13869   52.190 -1.019  0.259  0.135 
2M17315967-2654561          0.10556   3.62327  -59.737 -0.719  0.347  0.273 
2M17315997-2446352          1.90646   4.78521  -81.910 -0.380  0.225  0.234 
2M17320087-3248329         -4.83278   0.40092 -141.783  0.120  0.030  0.027 
2M17320161-2616505          0.64327   3.96277 -127.372  0.441  0.008 -0.012 
2M17320161-2056080          5.15879   6.85519   23.242 -0.290  0.348  0.292 
2M17320174-2738231         -0.49861   3.22232 -156.378  0.384  0.106  0.048 
2M17320192-2639356          0.32503   3.75546  -20.128  0.441 -0.014 -0.035 
2M17320232-2329068          3.00093   5.47741   13.030  0.188  0.038  0.057 
2M17320311-2736245         -0.46820   3.23604 -127.543 -0.187  0.230  0.256 
2M17320312-2739417         -0.51418   3.20617  170.672  0.188  0.191  0.207 
2M17320408-2844362         -1.42022   2.61326   48.236  0.251  0.035  0.030 
2M17320423-2645129          0.25097   3.69724 -184.566 -1.427  0.302  0.266 
2M17320456-2431569          2.12163   4.90294  -40.410 -1.805  0.479  0.438 
2M17320466-2754104         -0.71369   3.06986  -11.112 -0.177  0.142  0.117 
2M17320467-2408124          2.45568   5.11708 -128.548  0.073  0.063  0.056 
2M17320492-2614040          0.68893   3.97754   65.678 -0.839  0.256  0.258 
2M17320543-2702438          0.00804   3.53459 -175.460 -0.138  0.145  0.111 
2M17320556-2357579          2.60158   5.20669   84.183 -0.183  0.193  0.229 
2M17320565-3245214         -4.77907   0.41600   -5.613 -0.088  0.175  0.261 
2M17320595-1708040          8.41119   8.87260  201.056 -0.555  0.353  0.283 
2M17320596-1907578          6.70225   7.80760  148.271 -0.154  0.212  0.215 
2M17320707-2647289          0.22497   3.66783   32.604  0.455 -0.004 -0.024 
2M17320800-1711420          8.36364   8.83355  -37.750  0.064  0.183  0.198 
2M17320841-3334576         -5.46598  -0.04416  -70.579 -0.642  0.283  0.238 
2M17320871-2427069          2.19814   4.93341    4.043 -0.359  0.204  0.245 
2M17320920-1855438          6.88309   7.90580   13.573 -0.117  0.196  0.250 
2M17321076-1639422          8.82717   9.10715  -55.024 -1.022  0.353  0.324 
2M17321112-2939055         -2.16783   2.09618   57.653 -0.119  0.149  0.207 
2M17321118-2711230         -0.10152   3.43818  147.185 -0.392  0.314  0.275 
2M17321128-2639304          0.34527   3.72699  113.817 -0.382  0.204  0.262 
2M17321159-2112153          4.95169   6.67798   30.084 -0.855  0.301  0.246 
2M17321303-2957031         -2.41503   1.92698  -91.773 -0.180  0.264  0.210 
2M17321321-2728074         -0.33186   3.27998 -190.988  0.513  0.045  0.005 
2M17321575-2640372          0.33874   3.70293 -116.334 -0.353  0.325  0.263 
2M17321576-1717048          8.30336   8.75972   78.040 -0.624  0.285  0.267 
2M17321581-2245524          3.63828   5.82342  -15.909  0.234  0.097  0.097 
2M17321586-2845240         -1.40787   2.56995   64.979  0.480 -0.039  0.015 
2M17321618-3243162         -4.72979   0.40413 -265.357 -0.506  0.403  0.301 
2M17321663-2348485          2.75336   5.25385   -2.631 -1.751  0.304  0.425 
2M17321712-1720300          8.25740   8.72490   14.403 -0.398  0.321  0.288 
2M17321718-3245540         -4.76457   0.37722 -203.802 -0.196  0.327  0.185 
2M17321789-2645361          0.27325   3.65109   54.611 -0.938  0.269  0.218 
2M17321848-2711194         -0.08592   3.41602  111.504 -0.725  0.356  0.257 
2M17321886-2819190         -1.03701   2.79770    1.723 -0.714  0.358  0.279 
2M17321980-2746055         -0.57015   3.09650  -75.052  0.245  0.096  0.015 
2M17321985-2625029          0.56534   3.83121   57.434  0.086  0.044  0.055 
2M17322010-1644013          8.78536   9.03740   42.752  0.283  0.044  0.018 
2M17322057-2607341          0.81192   3.98729 -169.784 -0.516  0.320  0.271 
2M17322148-2419153          2.33502   4.96363  -12.988 -0.453  0.335  0.254 
2M17322167-1624419          9.06541   9.20263   11.835 -0.461  0.284  0.255 
2M17322185-2648426          0.23772   3.61058 -203.138  0.439  0.217  0.074 
2M17322194-1753509          7.79165   8.41315   97.299 -0.856  0.244  0.238 
2M17322216-2654572          0.15085   3.55301   36.180  0.536  0.003 -0.011 
2M17322249-1652528          8.66374   8.95106  -32.815 -1.139  0.152  0.071 
2M17322252-2631565          0.47410   3.76043  -10.974  0.205  0.101  0.049 
2M17322266-2723266         -0.24725   3.29312   -6.273 -0.139  0.012 -0.029 
2M17322268-2024567          5.64496   7.06509  -44.487  0.277  0.067  0.018 
2M17322289-2731548         -0.36543   3.21557  -49.931  0.410  0.023 -0.001 
2M17322380-2650323          0.21605   3.58789   -1.925 -0.057  0.187  0.233 
2M17322392-2723166         -0.24237   3.29070   69.038 -0.564  0.196  0.213 
2M17322429-2643070          0.32106   3.65362 -143.519 -0.582  0.319  0.289 
2M17322430-2801251         -0.77563   2.94346   36.482 -0.767  0.271  0.305 
2M17322476-3345532         -5.58749  -0.19117 -268.808 -0.058  0.091  0.063 
2M17322484-2625360          0.56775   3.81059   37.871 -0.292  0.259  0.249 
2M17322488-2848188         -1.43064   2.51586 -119.876 -0.611  0.243  0.014 
2M17322567-2712204         -0.08566   3.38445   -2.480 -0.159  0.114  0.014 
2M17322574-2653441          0.17517   3.55290   77.234 -0.099  0.194  0.192 
2M17322665-2014537          5.79584   7.14181  -26.967 -0.945  0.352  0.408 
2M17322710-3327126         -5.32232  -0.02796   64.348  0.368  0.045  0.044 
2M17322731-2721519         -0.21576   3.29300  108.031 -0.147  0.194  0.247 
2M17322760-2633461          0.45881   3.72798  -73.234  0.118  0.117  0.079 
2M17322763-2650359          0.22295   3.57543   43.850 -0.159  0.172  0.199 
2M17322771-1914395          6.65325   7.67562  -69.269 -0.080  0.169  0.177 
2M17322808-1659242          8.58239   8.87452  -17.282  0.111  0.079  0.044 
2M17322824-2406018          2.53502   5.06134 -259.676 -1.495  0.194  0.200 
2M17322842-1722187          8.25566   8.67077    3.527 -0.632  0.386  0.263 
2M17322887-2759564         -0.74580   2.94279   76.587 -0.562  0.370  0.297 
2M17322906-2407113          2.52042   5.04827  213.663 -0.615  0.416  0.289 
2M17322925-2616326          0.70374   3.87877  229.387 -0.692  0.309  0.311 
2M17323013-2727473         -0.29306   3.23053   22.048 -1.002  0.356  0.256 
2M17323103-2652469          0.19926   3.54502  109.796 -0.417  0.296  0.233 
2M17323134-2703393          0.04747   3.44553   61.772 -0.243 -0.001  0.037 
2M17323204-1711144          8.42162   8.75649  -18.219 -0.387  0.276  0.220 
2M17323274-2726185         -0.26706   3.23587  104.598  0.330  0.069  0.095 
2M17323383-2734283         -0.37920   3.15845  -81.204  0.199  0.121  0.057 
2M17323434-2633542          0.47061   3.70567  176.406  0.035  0.018 -0.005 
2M17323438-2428511          2.22664   4.83588   83.794  0.435  0.032  0.047 
2M17323439-2755493         -0.67706   2.96312 -109.287 -0.231  0.084  0.055 
2M17323474-2657007          0.14744   3.49514   49.335 -0.826  0.377  0.278 
2M17323482-2910407         -1.72368   2.28234  -98.977 -0.246  0.320  0.235 
